crypto,hour,avg_volatility,vol_z_score,volatility_regime,position_multiplier
xrp,3,0.24123452326813316,0.031598613543876074,Normal,0.9693692749010929
xrp,4,0.1904480255377964,-0.18425617632708594,Normal,0.8444118932961382
xrp,5,0.13994876532022443,-0.3988901379123467,Normal,0.7148524197135052
xrp,6,0.1552747459175736,-0.33375104643624487,Normal,0.7497651099670956
xrp,7,0.15210299234107302,-0.34723175946775287,Normal,0.7422627866159176
xrp,8,0.17952028264184702,-0.23070170322862,Normal,0.8125445811739777
xrp,9,0.35254986905039826,0.5047155175845239,Normal,0.6645774489022822
xrp,10,0.43070019506574625,0.8368731373117361,Normal,0.5444034101688155
xrp,11,0.29142147554258085,0.24490519150453505,Normal,0.8032740218485602
xrp,12,0.29729795204105597,0.26988162532943116,Normal,0.7874749740871171
xrp,13,0.2837553252670807,0.21232221510746715,Normal,0.8248632150251857
